artist,genre,title,album,lyrics,labels
Nirvana,Rock,You Know You’re Right,Nirvana,I will never bother you I will never promise to I will never follow you I will never bother you Never speak a word again I will crawl away for good I will move away from here You will not be afraid of fear No thought was put into this And always knew it would come to this Things have never been so swell I have never failed to fail You know you are right You know you are right You know you are right i am so warm and calm inside I no longer have to hide let us talk about someone else Steaming soup against her mouth Nothing really bothers her She just wants to love himself I will move away from here You will not be afraid of fear No thought was put into this Always knew it had come to this Things have never been so swell I have never failed to fail You know you are right You know you are right You know you are right You know you are right You know you are right You know you are right You know you are right You know you are right You know you are right You know you are right You know you are right You know you are right You know you are right You know you are right You know your rights You know your rights You know your rights,"['Calmness', 'Sadness']"
Damian Marley,Reggae,Here We Go,Stony Hill,Here we go My big ego is gon na get me in trouble Trying to play hero My jeans can not tight like Michael Phelps speedo We no play follow fashion when we lead out Now looky here my big ideas Gon na get me in trouble now amongst my peers But have no fear no bother cry tears you are just miles ahead when i am ahead light years Here.. here I come again Gong originally run fi the grand finale Have no fear.. for it is only I I do it regularly through every hill and valley i am here to teach you only truth it is Mister Warm and Easy Somebody please believe me For the things you do Jah is watching you Man a wah do some likkle bomboclaated Weh feel like them big ' cause dem album charted Well all bad card will be disregarded No punk cyaan finish weh what Bob Marley started Gong to the Zilla i am the Don Die - Hearted Anywhere me go dem roll out red carpet Some man a buy car and nah no house fi park it Nah unify dem selfish like market Dem sell out dem souls just to be rewarded Bleach out dem skin dem favour dead to rahtid Soul too corrupt and dem blemish and faulted Real Rastaman we can not be outsmarted Gong 's not the one fi a bwoy take chance with Ancient Nazarite weh make the Red Sea parted Provide the harvest in drought and shortage With Jah by my side i have got all advantage Here.. here I come again Gong originally run fi the grand finale Have no fear.. for it is only I I do it regularly through every hill and valley i am here to teach you only truth it is Mister Warm and Easy Somebody please believe me For the things you do Jah is watching you So buy your tickets to the show get there early grab a seat The real Gong is in the house everything else counterfeit If I have not been around it is a part of my mystique i have been busy so to speak i have been winning on a streak i have been feeling like a Wednesday surrounded by the week Be strong alone continue fi di justice where we seek So doh follow some DJ cah dem swimming up a creek Dem inna deeper shit when time dem an dem maker meet And if you buy the bullshit then do not lose your receipt Them bound fi self destruct mi ago lowe dem mek you see it Dem sow weh dem a reap dem think say Jah no seet When the stage show full a demon and the club dem full a freak And the dancehall full a pagans and dance like dem a Greek Dem renk and dem a reek dem pop down one a week Dem always overdweet but turn the other cheek The earth is for the meek Here.. here I come again Gong originally run fi the grand finale Have no fear.. for it is only I I do it regularly through every hill and valley i am here to teach you only truth it is Mister Warm and Easy Somebody please believe me For the things you do Jah is watching you Me do a thousand video shooting ten thousand chariot Hundred thousand photo shoot and million radio drop Mi deejay til ' me hoarse a welcome people to the rock You think a silver spoon or like it drop inna mi lap Me sign a billion autograph up to now the tour no stop Trade privacy for privilege it balance when it swap Tony Rebel say a reggae put Jamaica ' pon the map Who am I to disagree when i have been reaping up the crop My first release was ' 93 when dem a feed pon Similac First Grammy at 23 tell me which one a dem do that Another tour at 27 add it up and do the maths The weight weh dem a carry that no heavy like me locks i am a veteran the youngest to be exact Ghetto people love me bad i am guessing opposites attract Uptown me born and grow Stony Hill to mark the spot Big Gong to the Zilla and the return of the mac,"['Power', 'Tension']"
The Mission UK,Rock,Jade,Another Fall from Grace,Adorned with Stars With her deft allusion and a Universe between Us She showed me her skill with words and I showed her my Scars do not mistake kindness for affection she said do not ever let the attention go to your Head No more let Death divide what Life can join Together But just remember there is nothing that can last Forever And Jade is Benediction She is silent Prayer And Jade is Exaltation The colours that I wear And Jade is Contradiction She is naked but never bare Jade is a Work a work of Fiction Nothing more than Castles in the Air The shorter the leash the harder I will pull My glass is Empty when once it was Full I wish I could be Jesus and turn water into Wine ' Cause all my grapes have withered withered on the vine With a smile like Mercury elusive and fey there is a Beauty in the night that can not be seen by day she is a barbed wire Angel insatiable and cruel She destroys my resistance like the most Dazzling Jewel And Jade is Apostasy Abandoned Faith and Hope Jade is Hypocrisy She is Kaleidoscope And Jade is Precious Stone Impervious and Rare And Jade will never atone For the Flowers in her Hair And Jade never sleeps alone there is always someone there With Jade To rest their Head on her thigh To make her moist when she is dry To hold the Breath of every sigh To pledge their Life and how to Die To kiss the sleep from her Eyes To dry the Tears when she Cries And Jade is all and Jade is None And Jade is Moon and she is Sun And Jade is You and Everyone And she is Me and and all i have done And Jade is Lost and she is Won And Jade is the Bullet shot from your Gun...,"['Amazement', 'Calmness', 'Solemnity', 'Tenderness']"
UB40,Reggae,Food For Thought,Signing Off,Ivory Madonna dying in the dust Waiting for the manna coming from the west Barren is her bosom empty as her eyes Death a certain harvest scattered from the skies Skin and bones is creeping does not know he is dead Ancient eyes are peeping from his infant head Politicians argue sharpening their knives Drawing up their bargains trading baby lives Ivory Madonna dying in the dust Waiting for the manna coming from the west Hear the bells are ringing Christmas on it is way Hear the angels singing what is that they say? Eat and drink rejoicing joy is hear to stay Jesus son of Mary is born again today Ivory Madonna dying in the dust Waiting for the manna coming from the west Ivory Madonna dying in the dust Waiting for the manna coming from the west,"['Joyful activation', 'Sadness', 'Tension']"
Johnny Cash,Country,I’ve Been Everywhere,American II: Unchained,"I was toting my pack along the dusty Winnemucca road When along came a semi with a high ang canvas covered load "" If you are going to Winnemucca Mack with me you can ride "" And so I climbed into the cab and then I settled down inside He asked me if i would seen a road with so much dust and sand And I said "" Listen i have traveled every road in this here land "" i have been everywhere man i have been everywhere man Crossed the desert 's bare man i have breathed the mountain air man Of travel i have a'had my share man i have been everywhere i have been to Reno Chicago Fargo Minnesota Buffalo Toronto Winslow Sarasota Wichita Tulsa Ottawa Oklahoma Tampa Panama Mattawa Paloma Bangor Baltimore Salvador Amarillo Tocopilla Barranquilla and Padilla i am a killer i have been everywhere man i have been everywhere man Crossed the desert 's bare man i have breathed the mountain air man Of travel i have a'had my share man i have been everywhere i have been to Boston Charleston Dayton Louisiana Washington Houston Kingston Texarkana Monterey Faraday Santa Fe Tallapoosa Glen Rock Black Rock Little Rock Oskaloosa Tennessee to Hennessey Chicopee Spirit Lake Grand Lake Devil 's Lake Crater Lake for Pete 's sake i have been everywhere man i have been everywhere man Crossed the desert 's bare man i have breathed the mountain air man Of travel i have a'had my share man i have been everywhere i have been to Louisville Nashville Knoxville Ombabika Schefferville Jacksonville Waterville Costa Rica Pittsfield Springfield Bakersfield Shreveport Hackensack Cadillac Fond du Lac Davenport Idaho Jellico Argentina Diamantina Pasadena Catalina see what I mean'a i have been everywhere man i have been everywhere man Crossed the desert 's bare man i have breathed the mountain air man Of travel i have a'had my share man i have been everywhere i have been to Pittsburgh Parkersburg Gravelbourg Colorado Ellensburg Rexburg Vicksburg El Dorado Larimore Admore Haverstraw Chatanika Chaska Nebraska Alaska Opelaka Baraboo Waterloo Kalamazoo Kansas City Sioux City Cedar City Dodge City what a pity i have been everywhere man i have been everywhere man Crossed the desert 's bare man i have breathed the mountain air man Of travel i have a'had my share man i have been everywhere i have been everywhere","['Amazement', 'Calmness', 'Joyful activation']"
Alan Jackson,Country,It’s Five O’Clock Somewhere,Greatest Hits Volume II Disc 1,"The sun is hot and that old clock is moving slow Ang so am I Work day passes like molasses in wintertime But it is July i am getting paid by the hour ang older by the minute My boss just pushed me over the limit i would like to call him something I think i will just call it a day Pour me something tall ang strong Make it a "" Hurricane "" before I go insane it is only half - past twelve but I do not care it is five of the clock somewhere this lunch break is gon na take all afternoon Ang half the night Tomorrow morning I know there 'll be hell to pay but that is all right I am not had a day off now in over a year Our Jamaican vacation 's gon na start right here If the phone ’ s for me You can tell ' em I just sailed away And pour me something tall ang strong Make it a "" Hurricane "" before I go insane it is only half - past twelve but I do not care it is five of the clock somewhere I could pay off my tab pour myself in a cab Ang be back to work before two At a moment like this I can not help but wonder What would Jimmy Buffett do? Funny you should ask Alan i would say "" Pour me something tall ang strong Make it a "" Hurricane "" before I go insane it is only half - past twelve but I do not care "" Pour me something tall ang strong Make it a "" Hurricane "" before I go insane it is only half - past twelve but I do not care He do not care I do not care it is five of the clock somewhere What time zone am I on? What country am I in? It does not matter it is five of the clock somewhere it is always on five in Margaritaville come to think of it I heard that You been there have not you Yessir I seen your boat there i have been to Margaritaville a few times All right that is good Stumbled all the way back Okay just wanna make sure you can keep it between the navigational beacons between the buoys I tell you All right. Well it is five of the clock. let us go somewhere i am ready crank it up let us get out of here i am gone","['Sadness', 'Solemnity', 'Tension']"
Snoop Dogg,Hip-Hop,Beautiful,Paid Tha Cost To Be Da Bo$$,"Beautiful I just want you to know you are my favorite girl there is something about you Beautiful I just want you to know you are my favorite girl there is something about you I know you gong lose it this new Snoop shit Come on baby boo you gots to get into it do not fool with the player with the cool whip you know i am always on that cool shit Walk to it do it how you do it Have a glass let me put you in the mood and Little cutie looking like a student Long hair with ya big fat booty Back in the days you was a girl I went to school with Had to tell your moms and sister to cool it The girl wanna do it I just might do it Hit her up with some pimp pimp fluid Mommy do not worry I will not abuse it Hurry up and finish so we can watch Clueless I laugh at these niggas when they ask "" Who do this? "" But everybody know girl that you is Beautiful I just want you to know you are my favorite girl there is something about you Beautiful I just want you to know you are my favorite girl there is something about you When I see my baby boo shit I get foolish Smack a nigga that tries to pursue it Homeboy she taken just move it I asked you nicely do not make the Dogg lose it We just blow dro and keep the flow moving In a ' 64 me and baby boo cruising Body rag interior blue and Have them hydraulics squeaking when we screwing Now she is yelling hollering out "" Snoop! "" and Hooting hollering; hollering hooting Black and beautiful you the one i am choosing Hair long thin black and curly like you are Cuban Keep grooving that is what we doing And we gong be together until your moms move in there is something about you Beautiful I just want you to know you are my favorite girl there is something about you Beautiful I just want you to know you are my favorite girl there is something about you See I just want you To know that you are really special there is something about you my my my my See I just want you To know that you are really special there is something about you my my my my there is something about you Snoop Dogg Clothing that is what i am groomed in You got my pictures on the wall in your room and Girls be complaining you keep me booming But girls like that wanna listen to Pat Boone there is something about you You 's a college girl but that do not stop you from doing Come and see the Dogg in a hood near you in You do not ask why I roll with a crew and Twist up my fingers and wear dark blue and there is something about you On the Eastside that is the crew I choose Nothing I do is new to you I smack up the world if they rude to you ' Cause baby girl you are so beautiful Beautiful I just want you to know you are my favorite girl Beautiful I just want you to know you are my favorite girl See I just want you To know that you are really special there is something about you my my my my See I just want you To know that you are really special there is something about you my my my my See I just want you To know that you are really special there is something about you my my my my I just want you To know that you are really special there is something about you my my my my Ehh... there is something about you... - hooo! Ehh... there is something about you... - hooo! Ehh... there is something about you... - hooo!","['Amazement', 'Joyful activation', 'Solemnity', 'Tenderness']"
Pink Floyd,Rock,Hey You,The Wall,you Out there in the cold getting lonely getting old Can you feel me? you Standing in the aisles with itchy feet and fading smiles Can you feel me? you do not help them to bury the light do not give in without a fight you Out there on your own sitting naked by the phone Would you touch me? you With your ear against the wall waiting for someone to call out Could you touch me? you Would you help me to carry the stone? Open your heart i am coming home But it was only fantasy The wall was too high as you can see No matter how he tried he could not break free And the worms ate into his brain you Out there on the road always doing what you are told Can you help me? you Out there beyond the wall breaking bottles in the hall Can you help me? you do not tell me there is no hope at all Together we stand divided we fall We fall we fall we fall we fall we fall we fall we fall we fall...,"['Nostalgia', 'Power', 'Sadness', 'Tenderness']"
De La Soul,Hip-Hop,Buddy,3 Feet High and Rising,Hello Meany meany meany meany Say What? Meany meany meany meany Say What? Meany meany meany meany mean You got ta do that again Dove Meany meany meany meany Say What? Meany meany meany meany Say What? Meany meany meany meany mean Okay Hello it is the Soul Trooping in wit the Jungle patrol And this one 's about the KO 's the knockouts out there who is holding my buddy Hold up Wait a minute Now just wait we are gon na talk about Buddy on this plate But before we let the herd out the gate Make sure the all the levels are straight out the jungle The Jungle the Brothers the Brothers De Soul from the soul Black medallions no gold Hanging out wit Pos hanging out wit Mase Buddy buddy buddy all in my face For the lap Jimbrowski must wear a cap Just in case the young girl likes to clap am not for the wind but before I begin i will initiate the buddy with a slap Now for the next i am the from A Tribe Called Quest And when I quest for the buddy I do not fess For my jimmy wants nothing but the best the best The best wee! let us stick out jimmy and see what we can catch Stick em up stick em up jimmy Nets will not be needed unless Jenny wanna get right to the flesh Sweet little woman sweet little woman I will not lie I love why ' Cause I never let it walk on by When it comes to me and Jenny I seem Very serious like a Peek Freen Buddy is the act that occurs on the lift When Jenny and jimmy start shooting the gift Boy let me get shot I will not even riff Buddy buddy do not you know you make me go nutty i am so glad that you are not a fuddy duddy Not too skinny and not too chubby Soft like Silly Putty Miss Crabtree I hope that you are not mad at me ' Cause I told you that it was your buddy That was making me ever so horny Junglelistically horny On the dial my buddy talks to me for a while Plug Two is the: Q to her Tip On the A side or sometimes the flip Never gon na flip this record Buddy is the bud to my daisy tree And the Luden to my And the pleaser to my man Plug 3 Plug 3 gets all the buddy Behind my bush my buddy likes the way that I push And like a champ just knock it on out Never ever once selling out Or let loose the juice My buddy helps me to De my Soul Keeping jimmy in total control Without Jimmy i would be on a roll girl I heard ya looking for some good times If you Quest from the Soul here 's what we will find A whole lot of fun lots of fun together Just like kissing cousins that is kinda clever Close like bosoms bosoms stay close If you be my buddy I will boast That we are like Ethel Mertz and Lucille MacGillicuddy You can be mine and I can be your buddy The best buddy 's in evening wear Long loving lets Tru know he is in there I feel sorry for those who pay a fare a fee word to the D I do not beg I just tease my buddy with my right leg And when it is ready what is said is buddy is best in bed Word Fly buddy told us all to get into a circle Said do not worry cause I will not hurt you All I really wanna do is freak you she freaked us And I watched and then I checked my Swatch To see the time The Soul had formed a buddy line And that buddy was mine all mine Now when Tribe the Jungle and De Soul Is at the clubs our ritual unfolds Grab our bones and start swinging our hands Then Jenny start flocking it everywhere ' Cause Jenifa just wants to stay aware fellas should we keep her aware?!,"['Amazement', 'Joyful activation', 'Tenderness']"
Placebo,Rock,Running Up That Hill,Covers,""" If I only could i would be running up that hill If I only could i would be running up that hill "" It does not hurt me You want to feel how it feels? You want to know know that it does not hurt me? You want to hear about the deal i am making? You be running up that hill You and me be running up that hill And if I only could Make a deal with God i would get him to swap our places Be running up that road Be running up that hill Be running up that building If I only could You do not want to hurt me But see how deep the bullet lies Unaware that i am tearing you asunder there is a thunder in our hearts baby So much hate for the ones we love Tell me we both matter do not we? You be running up that hill You and me be running up that hill You and me will not be unhappy And if I only could Make a deal with God i would get him to swap our places Be running up that road Be running up that hill Be running up that building If I only could come on baby come on come on darling Let me steal this moment from you now come on angel come on come on darling let us exchange the experience And if I only could Make a deal with God And get him to swap our places Be running up that road Be running up that hill With no problem If I only could Make a deal with God i would get him to swap our places Be running up that road Be running up that hill With no problem If I only could Be running up that hill If I only could Be running up that hill If I only could Be running up that hill If I only could Be running up that hill If I only could Be running up that hill If I only could Be running up that hill If I only could Be running up that hill","['Sadness', 'Tenderness', 'Tension']"
