artist,genre,title,album,lyrics,labels
Nirvana,Rock,You Know You’re Right,Nirvana,"Nu te voi deranja niciodată
Nu voi promite niciodată
Nu te voi urmări niciodată
Nu te voi deranja niciodată
Nu mai spuneți niciodată un cuvânt
Mă voi târî în bine
Mă voi îndepărta de aici
Nu vă va fi frică de frică
Nu s-a pus niciun gând în asta
Și întotdeauna știa că va veni la asta
Lucrurile nu au fost niciodată atât de umflate
Nu am reușit niciodată să nu reușesc

He-eee-eee-eeey
He-eee-eee-eey
He-eee-eee-ey
Știi că ai dreptate
Știi că ai dreptate
Știi că ai dreptate

Sunt atât de cald și calm înăuntru
Nu mai trebuie să mă ascund
Să vorbim despre altcineva
Supă aburitoare de gura ei
Nimic nu o deranjează cu adevărat
Ea vrea doar să se iubească pe sine
Mă voi îndepărta de aici
Nu vă va fi frică de frică
Nu s-a pus niciun gând în asta
Știam întotdeauna că va ajunge la asta
Lucrurile nu au fost niciodată atât de umflate
Nu am reușit niciodată să nu reușesc

He-eee-eee-eey
He-eee-eee-eey
He-eee-eee-eey
He-eee-eee-eey
He-eee-eee-eey
Știi că ai dreptate
Știi că ai dreptate
Știi că ai dreptate
Știi că ai dreptate
Știi că ai dreptate
Știi că ai dreptate
Știi că ai dreptate
Știi că ai dreptate
Știi că ai dreptate
Știi că ai dreptate
Știi că ai dreptate
Știi că ai dreptate
Știi că ai dreptate
Știi că ai dreptate
(He-eee-eee-eey)
Îți cunoști drepturile
(He-eee-eee-eey)
Îți cunoști drepturile
(He-eee-eee-eey)
Îți cunoști drepturile
(He-eee-eee-eey)","Calmness, Sadness"
Damian Marley,Reggae,Here We Go,Stony Hill,"Începem
Marele meu ego mă va pune în dificultate
Încercând să joace erou
Blugii mei nu pot fi strânși ca Michael Phelps Speedo
Nu jucăm să urmărim moda, când vom conduce
Acum, cu aspect aici, ideile mele mari
O să mă pun la probleme acum printre colegii mei
Dar nu ai frică, nu te deranja să plângi lacrimi
Ești la doar kilometri înainte când sunt înainte de anii lumină

(Aici .. aici vin din nou)
Gong inițial, rulați Fi Marele Finala
(Nu ai frică .. căci este doar eu)
O fac în mod regulat, prin fiecare deal și vale
(Sunt aici pentru a te învăța doar adevărul)
Este Mister cald și ușor
Cineva te rog să mă creadă
(Pentru lucrurile pe care le faci, Jah te urmărește)

Omul a wah face niște Likkle Bomboclaated
Ne simțim ca un album mare pentru că sunt graficate
Ei bine, toate cardurile proaste vor fi ignorate
Fără punk cyaan nu termină ce a început Bob Marley
Gong to the zilla, eu sunt donul cu inimă
Oriunde mă duc, Dem rostogolesc covorul roșu
Un om o mașină cumpără și nu are casă fi parc It
Nah unifică Dem egoist ca piața
Dem vinde suflete dem doar pentru a fi răsplătit
Albiți-vă pielea dem, Dem Favorizați mort pentru Rahtid
Sufletul prea corupt și Dem Blemish and Faild
Rastaman adevărat nu putem fi neclintiți
Gong nu este cel care este un bwoy să ia șansa cu
Nazaritul antic Weh face ca Marea Roșie să fie despărțită
Asigurați recolta, în secetă și deficit
Cu Jah lângă mine am tot avantajul

(Aici .. aici vin din nou)
Gong inițial, rulați Fi Marele Finala
(Nu ai frică .. căci este doar eu)
O fac în mod regulat, prin fiecare deal și vale
(Sunt aici pentru a te învăța doar adevărul)
Este Mister cald și ușor
Cineva te rog să mă creadă
(Pentru lucrurile pe care le faci, Jah te urmărește)

Așa că cumpărați-vă biletele la spectacol, ajungeți-vă mai devreme, apucați-vă un loc
Adevăratul gong este în casă, orice altceva contrafăcut
Dacă nu am fost în preajmă, este o parte din mistica mea
Am fost ocupat ca să vorbesc, am câștigat pe o serie
M-am simțit ca o miercuri, înconjurat de săptămână
Fii puternic singur Continuați, FI DI JUSTIȚIE SCHIMBĂM
La fel și doh Urmează ceva dj cah dem înotând un pârâu
Dem inna mai profund rahat când timpul dem se întâlnește
Și dacă cumpărați rahatul, nu vă pierdeți chitanța
Ei legați-le auto deprețuitoare, cu mine acum Lowe Dem, mek îl vedeți
Dem semănăm Weh Dem a reap, Dem Think Say Jah No Seet
Când scena se arată pe un demon și clubul dem a făcut un ciudat
Iar dancehall a depus un păgâni și dansează ca Dem un grec
Dem Renk și Dem A Reek, Dem Pop Down One pe săptămână
Dem întotdeauna agitat, dar întoarce-te pe celălalt obraz
Pământul este pentru blând, nu

(Aici .. aici vin din nou)
Gong inițial, rulați Fi Marele Finala
(Nu ai frică .. căci este doar eu)
O fac în mod regulat, prin fiecare deal și vale
(Sunt aici pentru a te învăța doar adevărul)
Este Mister cald și ușor
Cineva te rog să mă creadă
(Pentru lucrurile pe care le faci, Jah te urmărește)

Eu fac o mie de filmări video, zece mii de cară
Sute de mii de ședințe foto și milioane de radio
Mi Deejay Til 'mă răsturnăm un bun venit la stâncă
Crezi că o lingură de argint sau ca acesta să pună în jos
Mă semnez un miliard de autograf, până acum turneul fără oprire
Confidențialitate comercială pentru privilegiu, se echilibrează atunci când schimbarea
Tony Rebel spune că un reggae a pus Jamaica 'pon the harta
Cine sunt eu să nu sunt de acord când am recoltat recolta
Prima mea versiune a fost '93, când Dem a Feed Pon Similac
Mai întâi Grammy la 23 de ani, spune-mi care este un Dem să facă asta
Un alt tur la 27 de ani, adăugați-l și faceți matematica
Greutatea este o transport care nu este greu ca mine încuietori
Sunt un veteran, cel mai tânăr care să fie exact
Ghetto People mă iubesc rău, cred că opusele atrag
Uptown Me Born and Grow, Stony Hill pentru a marca locul
Gong mare la Zilla și întoarcerea Mac","Power, Tension"
The Mission UK,Rock,Jade,Another Fall from Grace,"Împodobit cu stele
Cu aluzia ei abilă și un univers între noi
Mi-a arătat abilitatea ei cu cuvinte și i-am arătat cicatricile mele
Nu greșești bunătatea pentru afecțiune, a spus ea
Nu lăsa niciodată atenția să-ți meargă în cap
Nu mai este să lasă moartea să împartă ceea ce viața se poate uni
Dar amintiți-vă doar că nu există nimic care să poată dura pentru totdeauna
Iar Jade este binecuvântare
Ea este rugăciunea tăcută
Iar Jade este exaltare
Culorile pe care le port
Iar Jade este contradicție
Este goală, dar niciodată dezbrăcată
Jade este o lucrare, o lucrare de ficțiune
Nimic mai mult decât castele în aer
Cu cât este mai scurtă, cu atât mai greu voi trage mai greu
Paharul meu este gol când odată a fost plin
Mi-aș dori să pot fi Isus și să transform apa în vin
Pentru că toți strugurii mei s-au ofilit, s-au ofilit pe viță de vie
Cu un zâmbet ca mercur, evaziv și fey
Există o frumusețe în noapte care nu poate fi văzută de zi
Este un înger de sârmă ghimpată, insaciabil și crud
Ea îmi distruge rezistența ca cea mai amețitoare bijuterie
Iar Jade este apostazie
Credința și speranța abandonată
Jade este ipocrizie
Ea este caleidoscop
Iar Jade este piatră prețioasă
Impermeabil și rar
Și Jade nu va ispăși niciodată
Pentru florile din părul ei
Și Jade nu doarme niciodată singur
Există întotdeauna cineva acolo
Cu Jade
Să-și odihnească capul pe coapsa ei
Să o facă umedă când este uscată
Pentru a ține respirația fiecărui suspin
Pentru a-și angaja viața și cum să moară
Să-i sărute somnul din ochii ei
Să usuce lacrimile când plânge
Și Jade este totul și Jade nu este nici unul
Și Jade este luna și ea este soare
Și Jade ești tu și toată lumea
Și ea sunt eu și tot ce am făcut
Și Jade este pierdut și ea este câștigată
Iar Jade este lovitura de glonț din arma ta ...","Amazement, Calmness, Solemnity, Tenderness"
UB40,Reggae,Food For Thought,Signing Off,"Madonna de fildeș, murind în praf
Așteptând ca mana să vină din vest
Stearpă este sânul ei, gol ca ochii ei
Moarte o anumită recoltă împrăștiată din ceruri
Pielea și oasele se strecoară, nu știe că este mort
Ochii antici se uită, din capul lui de copil
Politicienii susțin accentuarea cuțitelor
Îmbinați-le negocierile, tranzacționarea vieții bebelușului

Madonna de fildeș, murind în praf
Așteptând ca mana să vină din vest
Auziți clopotele sună, Crăciunul pe drum
Auziți îngerii cântând, ce spun ei?
Mănâncă și bea bucurie, bucuria este să auzi să rămâi
Iisus Fiul Mariei se naște din nou astăzi

Madonna de fildeș, murind în praf
Așteptând ca mana să vină din vest
Madonna de fildeș, murind în praf
Așteptând ca mana să vină din vest","Joyful activation, Sadness, Tension"
Johnny Cash,Country,I’ve Been Everywhere,American II: Unchained,"Am fost tot pachetul meu de-a lungul drumului Dusty Winnemucca
Când a venit un semi cu o încărcătură acoperită cu pânză ridicată
""Dacă te duci la Winnemucca, Mack, cu mine poți călări""
Și așa am urcat în cabină și apoi m-am așezat înăuntru
M-a întrebat dacă am văzut un drum cu atât de mult praf și nisip
Și am spus: „Ascultă, am călătorit fiecare drum în acest teren aici”

Am fost peste tot, omule
Am fost peste tot, omule
A traversat deșertul gol, omule
Am respirat aerul de munte, omule
De călătorie, mi-am făcut partea mea, omule
Am fost peste tot

Am fost la Reno, Chicago, Fargo, Minnesota
Buffalo, Toronto, Winslow, Sarasota
Wichita, Tulsa, Ottawa, Oklahoma
Tampa, Panama, Mattawa, La Paloma
Bangor, Baltimore, Salvador, Amarillo
Tocopla, Barranquilla și Padilla, sunt un criminal

Am fost peste tot, omule
Am fost peste tot, omule
A traversat deșertul gol, omule
Am respirat aerul de munte, omule
De călătorie, mi-am făcut partea mea, omule
Am fost peste tot

Am fost la Boston, Charleston, Dayton, Louisiana
Washington, Houston, Kingston, Texarkana
Monterey, Faraday, Santa Fe, Tallapoosa
Glen Rock, Black Rock, Little Rock, Oskaloosa
Tennessee către Hennessey, Chicopee, Spirit Lake
Grand Lake, Devil's Lake, Crater Lake, de dragul lui Pete

Am fost peste tot, omule
Am fost peste tot, omule
A traversat deșertul gol, omule
Am respirat aerul de munte, omule
De călătorie, mi-am făcut partea mea, omule
Am fost peste tot

Am fost la Louisville, Nashville, Knoxville, Ombabika
Schefferville, Jacksonville, Waterville, Costa Rica
Pittsfield, Springfield, Bakersfield, Shreveport
Hackensack, Cadillac, Fond du Lac, Davenport
Idaho, Jellico, Argentina, Diamantina
Pasadena, Catalina, vezi ce vreau să spun

Am fost peste tot, omule
Am fost peste tot, omule
A traversat deșertul gol, omule
Am respirat aerul de munte, omule
De călătorie, mi-am făcut partea mea, omule
Am fost peste tot

Am fost la Pittsburgh, Parkersburg, Gravelbourg, Colorado
Ellensburg, Rexburg, Vicksburg, El Dorado
Larimore, Admore, Haverstraw, Chatanika
Chaska, Nebraska, Alaska, Opelaka
Baraboo, Waterloo, Kalamazoo, Kansas City
Sioux City, Cedar City, Dodge City, Ce păcat

Am fost peste tot, omule
Am fost peste tot, omule
A traversat deșertul gol, omule
Am respirat aerul de munte, omule
De călătorie, mi-am făcut partea mea, omule
Am fost peste tot

Am fost peste tot","Amazement, Calmness, Joyful activation"
Alan Jackson,Country,It’s Five O’Clock Somewhere,Greatest Hits Volume II Disc 1,"Soarele este fierbinte și acel ceas vechi se mișcă lent
Un 'Deci sunt eu
Ziua de lucru trece ca melasa în timpul iernii
Dar este iulie
Sunt plătit la oră, mai vechi de minut
Șeful meu tocmai m-a împins peste limită
Aș vrea să-l numesc ceva
Cred că o voi numi doar o zi

Toolează-mă ceva înalt și puternic
Faceți-o „uragan” înainte să mă înnebuniți
Sunt doar jumătate de douăsprezece, dar nu-mi pasă
Este ora cinci undeva undeva

Oh, pauza asta de prânz va dura toată după-amiaza
O jumătate de noapte
Mâine Mornin ', știu că va fi iad de plătit
Hei, dar este în regulă
Nu am avut o zi liberă acum peste un an
Vacanța noastră jamaicană va începe chiar aici
Dacă telefonul este pentru mine
Îi poți spune că tocmai am plecat

Și toarnă-mă ceva înalt și puternic
Faceți-o „uragan” înainte să mă înnebuniți
Sunt doar jumătate de douăsprezece, dar nu-mi pasă
Este ora cinci undeva undeva

Aș putea să-mi plătesc fila, să mă toarnă într-un taxi
Un „să te întorci la muncă înainte de doi
Într-un moment ca acesta, nu pot să nu mă întreb
Ce ar face Jimmy Buffett?
Amuzant ar trebui să-l întrebi pe Alan aș spune
„Pour-mă ceva înalt și puternic” puternic
Faceți-o „uragan” înainte să mă înnebuniți
Sunt doar jumătate de douăsprezece, dar nu-mi pasă ""
Toolează-mă ceva înalt și puternic
Faceți-o „uragan” înainte să mă înnebuniți
Sunt doar jumătate de douăsprezece, dar nu-mi pasă
Nu-i pasă
Nu-mi pasă
Este ora cinci undeva undeva

La ce fus orar sunt? În ce țară mă aflu?
Nu contează, este ora cinci undeva
Este întotdeauna pe cinci în Margaritaville, vino să te gândești la asta
Da, am auzit asta
Ai fost acolo nu ai făcut-o
Yessir
Am văzut barca ta acolo
Am fost de câteva ori la Margaritaville
Bine, e bine
S-a împiedicat până la capăt
Bine, vreau doar să vă asigurați că îl puteți păstra între balizele de navigație
Ha ha ha, între geamuri, îți spun
În regulă. Ei bine, este ora cinci. Să mergem undeva
Sunt gata, manipa-l
Să ieșim de aici
Am plecat","Sadness, Solemnity, Tension"
Snoop Dogg,Hip-Hop,Beautiful,Paid Tha Cost To Be Da Bo$$,"Frumos, vreau doar să știi
Ești fata mea preferată
(Da, oh, da, există ceva despre tine)
Frumos, vreau doar să știi
Ești fata mea preferată
(Da, oh, da, există ceva despre tine)

Știu că nu-l pierzi, acest nou rahat Snoop
Haide Baby Boo, ai să intri în ea
Nu te păcăli cu jucătorul cu biciul rece
Da, da, știi că sunt mereu pe rahatul ăla mișto
Mergeți până la ea, faceți-o cum o faceți
Ai un pahar, lasă-mă să te pun în dispoziție și
Micul cutie care arată ca un student
Păr lung cu pradă mare grasă
Înapoi în zile, ai fost o fată cu care am fost la școală
A trebuit să-i spui mamelor și surorii tale să o răcească
Fata vrea să o facă, aș putea face asta
Lovește-o cu niște lichid de proxenet proxenet
Mami nu vă faceți griji, nu o voi abuza
Grăbește-te și termină ca să putem urmări neîncrezător
Râd de acești negri când întreabă: „Cine face asta?”
Dar toată lumea știe, ooh fată, că tu ești

Frumos, vreau doar să știi
Ești fata mea preferată
(Da, oh, da, există ceva despre tine)
Frumos, vreau doar să știi
Ești fata mea preferată
(Da, oh, da, există ceva despre tine)

Când îmi văd copilul boo, rahat, devin prost
Smulge un negru care încearcă să-l urmărească
Homeboy, a luat-o, mutați-o
Te-am întrebat frumos, nu-l face pe Dogg să-l piardă
Doar aruncăm DRO și menținem fluxul în mișcare
Într-un '64, eu și bebelușul boo croazin '
Body Rag Interior Blue și
Puneți-le hidraulice scârțâind atunci când înșurubați
Acum strigă, alunecând „Snoop!” şi
Hooting, holling; Holling, Hooting
Negru și frumos, tu cel pe care îl aleg
Păr lung, subțire, negru și cret ca și cum ai fi cubanez
Continuați să vă gândiți, asta facem
Și vom fi împreună până când mamele tale se mută
(Da, oh, da, există ceva despre tine)

Frumos, vreau doar să știi
Ești fata mea preferată
(Da, oh, da, există ceva despre tine)
Frumos, vreau doar să știi
Ești fata mea preferată
(Da, oh, da, există ceva despre tine)

Vezi, te vreau doar
Să știi că ești cu adevărat special
(Da, oh, da, există ceva despre tine)
Oh, oh, oh, oh, oh my
Vezi, te vreau doar
Să știi că ești cu adevărat special
(Da, oh, da, există ceva despre tine)
Oh, oh, oh, oh, oh my
(Da, oh, da, există ceva despre tine)

Îmbrăcăminte Snoop Dogg, asta sunt îngrijit
Mi-ai făcut pozele pe peretele din camera ta și
Fetele se plâng că mă păstrează boomin '
Dar fetelor ca asta vor să-l asculte pe Pat Boone
(Da, oh, da, există ceva despre tine)
Ești o fată de facultate, dar asta nu te împiedică să faci
Vino să vezi cățelul într-o glugă lângă tine
Nu vă întrebați de ce mă rostogolesc cu un echipaj și
Răsuciți-mi degetele și purtați albastru închis și
(Da, oh, da, există ceva despre tine)
Pe Eastside, acesta este echipajul pe care îl aleg
Nimic din ce fac nu este nou pentru tine
Am aruncat lumea dacă sunt nepoliticoase cu tine
Pentru că fetița, ești atât de frumoasă

Frumos, vreau doar să știi
Ești fata mea preferată
Frumos, vreau doar să știi
Ești fata mea preferată

Vezi, te vreau doar
Să știi că ești cu adevărat special
(Da, oh, da, există ceva despre tine)
Oh, oh, oh, oh, oh my
Vezi, te vreau doar
Să știi că ești cu adevărat special
(Da, oh, da, există ceva despre tine)
Oh, oh, oh, oh, oh my
Vezi, te vreau doar
Să știi că ești cu adevărat special
(Da, oh, da, există ceva despre tine)
Oh, oh, oh, oh, oh my
Te vreau doar
Să știi că ești cu adevărat special
(Da, oh, da, există ceva despre tine)
Oh, oh, oh, oh, oh my

Ehh ... oh da, e ceva despre tine ... oh-hooo!
Ehh ... oh da, e ceva despre tine ... oh-hooo!
Ehh ... oh da, e ceva despre tine ... oh-hooo!","Amazement, Joyful activation, Solemnity, Tenderness"
Pink Floyd,Rock,Hey You,The Wall,"Hei, tu
Acolo, în frig, îmbătrânește, îmbătrânește
Poți să mă simți?
Hei, tu
Stând în culoar cu mâncărimi și zâmbete decolorate
Poți să mă simți?
Hei, tu
Nu-i ajuta să îngroape lumina
Nu renunța fără luptă

Hei, tu
Acolo pe cont propriu, stând gol de telefon
M-ai atinge?
Hei, tu
Cu urechea pe perete, așteptând ca cineva să sune
Ai putea să mă atingi?
Hei, tu
M-ai ajuta să port piatra?
Deschide-ți inima, vin acasă


Dar a fost doar fantezie
Peretele era prea înalt, după cum poți vedea
Indiferent cum ar fi încercat, nu a putut să se elibereze
Iar viermii i-au mâncat în creierul lui


Hei, tu
Acolo pe drum, făcând mereu ceea ce vi se spune
Mă puteți ajuta?
Hei, tu
Acolo dincolo de perete, rupând sticlele în sală
Mă puteți ajuta?
Hei, tu
Nu-mi spune că nu există nicio speranță
Împreună stăm, împărțiți că cădem

(Cădem, cădem, cădem, cădem, cădem, cădem, cădem, cădem ...)","Nostalgia, Power, Sadness, Tenderness"
De La Soul,Hip-Hop,Buddy,3 Feet High and Rising,"Buna ziua
Meany, Meany, Meany, Meany (spune ce?)
Meany, Meany, Meany, Meany (spune ce?)
Meany, Meany, Meany, Meany, Meany
(Trebuie să faci asta din nou, Dove)
Meany, Meany, Meany, Meany (spune ce?)
Meany, Meany, Meany, Meany (spune ce?)
Meany, Meany, Meany, Meany, Mean (bine)

Bună ziua este sufletul
Trupe-te cu patrulă în junglă
Și asta este despre KO-uri, knockout-urile de acolo
Cine își deține amicul meu
Stai Up (așteptați un minut)

Acum abia așteaptă
Vom vorbi despre Buddy pe această farfurie
Dar înainte să lăsăm efectivul să iasă poarta
Asigurați-vă că toate nivelurile sunt direct în junglă
(Jungla, frații, frații)

De la soul, din suflet
Medalioane negre, fără aur
Hangin 'Out Wit Pos, Hangin' Out Wit Mase
Buddy Buddy Buddy, totul în fața mea

Pentru tur, Jimbrowski trebuie să poarte o șapcă
Doar în cazul în care tânăra îi place să aplice
Nu este pentru vânt, dar înainte de a începe
Voi iniția amicul cu o palmă

Acum pentru următorul
Sunt Q-Tip de la A Tribe Called Quest
Și când caut amicul, nu fac fes
Pentru că Jimmy-ul meu nu vrea nimic, dar cel mai bun (cel mai bun)
Cel mai bun (ooh wee!)
Hai să ieșim pe Jimmy și să vedem ce putem prinde
(Lipiți-vă, lipiți-o pe Jimmy)
Plasele nu vor fi necesare decât dacă
(Jenny vrea să ajungă la carne)
(Femeie mică dulce, femeie mică dulce)

Nu voi minți, îmi place B-U-D-D-D-Y (de ce)
Pentru că nu l-am lăsat niciodată să meargă mai departe
Când vine vorba de mine și Jenny par
(Foarte serios) ca un Freen Peek
Buddy este actul care apare pe lift
Când Jenny și Jimmy încep să tragă cadoul
Băiatul lasă-mă să fiu împușcat, nici măcar nu mă voi ridica

Amice amice, nu știi că mă faci să mă descurc
Mă bucur atât de mult că nu ești un duddy fuddy
Nu prea slab și nu prea dolofan
Moale ca niște chit prostesc
Domnișoară Crabtree, sper că nu ești supărat pe mine
Pentru că ți-am spus că este amicul tău
Asta mă făcea mereu atât de excitat
Junglelistic excitat

Pe cadran, amicul meu îmi vorbește o vreme
Plug doi este (Q-Tip: Q la sfatul ei)
Pe partea sau uneori flip-ul
(Niciodată nu va flip acest record)
Buddy este mugurul copacului meu de margarete
Și Ludenul pentru a-mi face-mi-mi-mi
Și plăcerea pentru omul meu plug 3
(Plug 3 primește tot amicul)

În spatele tufișului meu, amicului meu îi place felul în care îl împing
Și ca un campion doar să-l bată
Niciodată nu se vinde niciodată
(Sau eliberați sucul)
Amicul meu mă ajută
(De la sufletul meu)
Păstrați-l pe Jimmy în control total
Fără Jimmy aș fi pe un rol
(La La La L-La La La La, La La LA LA LA LA LA)

Hei fată, am auzit că arăți pentru câteva momente bune
Dacă căutați din suflet, iată ce vom găsi
O mulțime de distracții, multă distracție împreună
La fel ca și Kissin 'Cousins ​​(da, este cam deștept)
Aproape ca sânii, sânii rămân aproape
Dacă vei fi amicul meu, mă voi lăuda
Că suntem ca Ethel Mertz și Lucille MacGillicuddy
Poți fi al meu și pot fi amicul tău

Cel mai bun amic din uzură de seară
Long Lovin 'îl anunță pe Tru (este acolo)
Îmi pare rău pentru cei care plătesc un cuvânt (o taxă) pentru D la D
Nu cer să-mi tachinez amicul cu piciorul drept
Și când este gata, ceea ce s-a spus este amicul este cel mai bun în pat
(Cuvânt)

Fly Buddy ne-a spus tuturor să intrăm într-un cerc
A spus nu vă faceți griji pentru că nu vă voi face rău
Tot ce vreau să fac este să te fream (ne-a speriat)

Și am urmărit și apoi mi-am verificat swatch-ul
Pentru a vedea timpul
Sufletul formase o linie de amic
Și amicul acela a fost (al meu al meu)

Acum când tribul, jungla și de la soul
Este la cluburi ritualul nostru se desfășoară
Prindeți-ne oasele și începeți să ne balansăm mâinile
(Atunci Jenny începe să-l facă peste tot)
Pentru că Jenifa vrea doar să rămână la curent
Yo Fellas, ar trebui să o ținem conștienți?
(Mmm hmm, da!)","Amazement, Joyful activation, Tenderness"
Placebo,Rock,Running Up That Hill,Covers,"„Dacă aș putea doar, aș alerga pe dealul acela
Dacă aș putea doar, aș alerga pe dealul acela ""

Nu mă doare
Vrei să simți cum se simte?
Vrei să știi, știi că nu mă doare?
Vrei să afli despre afacerea pe care o fac?
Tu (alergi pe dealul acela)
Tu și cu mine (alergați pe dealul acela)

Și dacă aș putea doar
Face o înțelegere cu Dumnezeu
L-aș determina să ne schimbe locurile
Alerga pe acel drum
Alerga pe dealul acela
Alergând pe acea clădire
Dacă aș putea doar, oh

Nu vrei să mă rănești
Dar vezi cât de adânc se află glonțul
Nu știu că te sfâșie
Există un tunet în inimile noastre, iubito
Atâta ură pentru cei pe care îi iubim
Spune-mi, amândoi contează, nu-i așa?
Tu (alergi pe dealul acela)
Tu și cu mine (alergați pe dealul acela)
Tu și cu mine nu vom fi nefericiți

Și dacă aș putea doar
Face o înțelegere cu Dumnezeu
L-aș determina să ne schimbe locurile
Alerga pe acel drum
Alerga pe dealul acela
Alergând pe acea clădire
Dacă aș putea doar, oh

C'MON, iubito, c'mon, c'mon Darling
Lasă-mă să furem acest moment de la tine acum
C'mon, Angel, C'Mon, C'Mon, dragă
Să schimbăm experiența, oh

Și dacă aș putea doar
Face o înțelegere cu Dumnezeu
Și fă-l să ne schimbe locurile
Alerga pe acel drum
Alerga pe dealul acela
Fără nicio problemă

Dacă aș putea doar
Face o înțelegere cu Dumnezeu
L-aș determina să ne schimbe locurile
Alerga pe acel drum
Alerga pe dealul acela
Fără nicio problemă

(Dacă aș putea doar
Alerga pe dealul acela
Dacă aș putea doar
Alerga pe dealul acela
Dacă aș putea doar
Alerga pe dealul acela
Dacă aș putea doar
Alerga pe dealul acela
Dacă aș putea doar
Alerga pe dealul acela
Dacă aș putea doar
Alerga pe dealul acela
Dacă aș putea doar
Fii alergând pe dealul acela)","Sadness, Tenderness, Tension"
