artist,genre,title,album,lyrics,labels
Nirvana,Rock,You Know You’re Right,Nirvana,vrea deranja vrea promi vrea vrea deranja vrea bine vrea nici_un pune vrea veni lucru umfla dreptate dreptate dreptate vrea sine sine vrea vrea sine veni lucru umfla dreptate dreptate dreptate dreptate dreptate dreptate dreptate drept,"['Calmness', 'Sadness']"
Damian Marley,Reggae,Here We Go,Stony Hill,merge ego mare gon na problemă juca erou putea modă vrea conduce acum aspect idee mare gon na acum printre lacrimă kilometru rugă crede lucru jah wah mare album demit bine card vrea ignora punk cyaan finisaj awher n anywhere nah uny uny red nah migfit carpet oare manilla nah hait dem vrea recompensa dem skin dem dem favoare mort rahtid suflet corupt vină putea singur bwoy lua oferi recoltă jah avantaja veni jah primi avantaj regulat deal val ruga crede lucru jah spectacol ajunge apuca timp loc parte mystique ocupa vorbi jur parte mystique ocupa vorbe parte mystique ocupa di justică dj cah dem creek dem inna rahat timp sine bullshit low dem mek reap dem think say sine vrea vedea precum dans club dem complet dance sine vrea dans precum dans dans dans dans dans dans dans dans dans dans dans dans dans dans complet dans dans dans club dem reek dem pop dem agitat veni mare final regulat deal val ruga crede lucru drop deejay til hoarse bun veni rock argint like drop inna lapă autograf prezent turneu oprire privilegiu echilibru schimbă spune reggae pune Furam recoltă recolt eliberare spune dem tur matematic greutate dem transport greu veteran exact ghetou om iubi crede opune atrag uptown crește marcă loc mare gong zilla mac mac,"['Power', 'Tension']"
The Mission UK,Rock,Jade,Another Fall from Grace,vedet aluzie univers abilita cuvânt cicatric spune cap moarte putea sine putea dura totdeauna jad sine afla lucru purta muncă castel aer scurt lesă greu vrea trage gol plin vrea putea isus transform apă veni strugur ofil viu precum fey noapte putea bruti apostal crud sine vrea distruge daizlinge precum mare parte barbed crud hypocrisy kaleidoscope Jade precious ston impervious rar jad never aton flowers alon ther always someonă ther thigh mak moist dry hold breath everye sigh pledge Life die kiss sleepe nici_un soare lume pierde armă,"['Amazement', 'Calmness', 'Solemnity', 'Tenderness']"
UB40,Reggae,Food For Thought,Signing Off,dying dust West bosom empty skies creepinge know dead ancient eyes peepinge infant head argue sharpeninge knives drawing bargains trading dying dust bells ringing way hear spune bea bucuriu bucurie auzi Maria sine muri praf manna veni vest madonna ivory muri praf,"['Joyful activation', 'Sadness', 'Tension']"
Johnny Cash,Country,I’ve Been Everywhere,American II: Unchained,toting pack dusty winnemucca road alonge sem high ang canvas Covered load going ridă cab settled insid asked Would seen road dust sand said listen traveled every road thidă land everywher man everywher man desert bară respira om munte adoune everywher man desert bar man mountain air man travel shr man everywher fe rock black rock little rock oskaloosa tennesseu hennessey chicopee spirit lak grand lak devil lak crater lak pet sake everywher man everywher man desert bar man mountain air man travel shr man everywher du lac davenport idaho jellico argentină see everywher man everywher man desert bar man mountain air man travel shr man everywher om om traversa om gol respira aer munte,"['Amazement', 'Calmness', 'Joyful activation']"
Alan Jackson,Country,It’s Five O’Clock Somewhere,Greatest Hits Volume II Disc 1,cald sine lent lucru trece mels timp iulie oră mare moment dor num crede vrea numi toarn uragan twelve plăcea noapte vrea iad acum na spune pleca vrea turna moment putea trebui spune ang puternic uragan doisprezece puternic uragan ceas oară ceas vino auzi acolo barca acolo oară oară bine bine vrea asigur baliz fluture spune spune dreptate bine ceas merge gata pleca,"['Sadness', 'Solemnity', 'Tension']"
Snoop Dogg,Hip-Hop,Beautiful,Paid Tha Cost To Be Da Bo$$,frumos vrea fată frumos vrea fată pierză rahat snoop vino baby boo gots rahat duce trebui spune mamelor sor fată vrea putea proxenet proxenet mami fluid grijă vrea abuza putea niggas rahat prost nigga lua cere frumos dogg dro flux interior rag acum scoate holling negru frumos alega lung ondula pune gong mamă sine acolo frumos vrea fată vrea fată vedea vrea special special dogg lua poză perete cameră fată sine expansiune vrea asculta faculta descurca vedea sine deget apropiere ruga vedea echipaj alega special want special hooo ehh hooo ehh hooo,"['Amazement', 'Joyful activation', 'Solemnity', 'Tenderness']"
Pink Floyd,Rock,Hey You,The Wall,acolo singur sta culoar decolorat acolo cont propriu gol telefon atinge perete suna putea atinge ajuta port piatră deschide inimă vin fantezie perete mare deoarece indiferent putea sine elibera vierm drum drum sine spune ajuta acolo dincolo rupere sticlelor hol ajuta nici_un deloc,"['Nostalgia', 'Power', 'Sadness', 'Tenderness']"
De La Soul,Hip-Hop,Buddy,3 Feet High and Rising,salut meany meany meany spune spune meany spune spune bine salut suflet patrulă ko koouts acolo amic minut acum gon na amic efectiv sine asigura nivel dreptă Jungle trebui purta caz plăcea aplica amic acum trib chemă vrea bun amic fess jimmy vrea bun lucru bun lucru scoate jimmy vedea putea prinde vrea necesar vrea carne femeie dulce dulce femeie dulce vrea plăcea veni vorbă părea serios privire act apăre ascensiune trage sine ridica cadou jos descurc bucuros duddy fuddy slab dolofan moale stupid prost spune amic excit junglelist corofat apel pluti gon na flipe amic record mugur copac Plug amic plăcea bate las suc suflet control total suflet control total auzim jimmy control total auzi jimmy totalitate total caz teect vrea vrea distractiv inteligent aproape aproape vrea amic vrea putea amic bun amic tea buddy right leg ready said buddy Best bed Word fly buddy told us get circlă said worry caune hurt really Wanna freak us checked see time formed buddy lin buddy clubs ritual unfolds grab bones aglomeră vrea semen trebui,"['Amazement', 'Joyful activation', 'Tenderness']"
Placebo,Rock,Running Up That Hill,Covers,putea alerga deal putea alerga deal dure vrea sine simți vrei dure vrei afla afacer running running hill could deal would get swap places running road running hill running building could want hurt see deep bullet lies unawar tearing asunder thunder baby much hate ones love deal vrea deal vrea nefericit putea dumnezeu determina schimbă loc alerga drum respectiv alerga deal putea veni vino drag f moment moment nici_un putea dumnezeu determina schimbă loc alerga drum curge deal respectiv nici_un putea alerga deal putea alerga deal putea alerga deal putea alerga deal putea alerga deal respectiv putea alerga deal putea alerga deal deal deal putea alerga deal putea alerga deal deal putea alerga deal respectiv putea alerga deal deal,"['Sadness', 'Tenderness', 'Tension']"
The Sundays,Rock,Can’t Be Sure,"Reading, Writing, and Arithmetic ",poveste pat posesiun love noroc ban merge cap incendiu bine vrea direct liv loc perfect timp vreme mizerabil putea motiv lucru groaznic putea lucru groaznic bazez putea lucru groaznic putea lucru groaznic Bazez lucru groaznic lume lucru groaznic putea sigur dor vrea vrea vrea,"['Calmness', 'Nostalgia', 'Power', 'Sadness', 'Solemnity']"
The Beatles,Rock,Help!,Help!,ajutor nevoie ajutor nevoie ajutor nevoie ajutor nici_un acum asigura sine acum schimbă deschide simți jos aprecieză rotund reveni picior teren ruga ruga acum schimbă părea simți nesigur nevoie ajuta simți jos apreciez rotund revean picior ruga rugă nevoie ajutor nici_un acum asigura sine acum schimbă deschide simți jos aprecieză rotund reveni picior teren ruga rugă,"['Nostalgia', 'Sadness', 'Tension']"
Lauryn Hill,Hip-Hop,When It Hurts so Bad,The Miseducation of Lauryn Hill,dure dure dure dure sine simți bine dure dure dure tare dragoste afla vrea muri putea corect iubi nevoie nevoie ironic dovedi crede sentiment putea dragoste simți putere putere exista iubi vrea putea nevoie putea trece vrea prinde prinde vrea prinde vrea vrea vedea vrea vrea vrea nevoie vrea vedea vrea vrea nevoie iros putea nevoie ironic dovedi dure dure dure dure sine simți bine dure dure dure dure dure dure sine simți bine dure dure dure dure dure dure dure,"['Nostalgia', 'Sadness', 'Tenderness']"
Pink Floyd,Rock,"Another Brick in the Wall, Pt. 2",The Wall,nevoie nevoie nici_un control sarcasm pace copil pace total perete total perete nevoie nevoie nici_un control sarcasm cadru pace copil pace total perete total perete sine carne carne sta laddie carne carne sta laddie sunet sunet telefon,"['Joyful activation', 'Power', 'Solemnity', 'Tension']"
Shania Twain,Country,Up!,Up!,urc ridic ridic ridic ridic ridic putea sine părea lume vrea vrea veni piele ciudat durea ridic putea ridica punct ocupa nici_un cale simplu completă nici_un lucru gen putea putea urca clar nici_un sine vrea vrea dură timp timp drum could bu bad could everybody bugging way day easily go clouds gon na clear way going going going going going going going,"['Power', 'Sadness', 'Solemnity', 'Tension']"
The Mighty Diamonds,Reggae,Bodyguard,Deeper Roots Plus Dub,gon na ya domn gon na ya domn corp gon na ya domn corp nuh Wang curte seh dem gard curte gon na ya domn corp vrea gon na bodyguard ya domn corp temere temut loc ascunde cap bine gon na ya domn corp vrea gon na bodyguard ya domn personal dem veni plimbare gon na ya domn corp gon na bodyguard dle nuh Wang curte vrea revendică seh dem gard curte gon na ya domn corp vrea gon na bodyguard ya domn corp,"['Joyful activation', 'Power', 'Solemnity']"
